appname,event,timestamp
系统 UI,32,1605059605743
系统 UI,32,1605059605776
系统 UI,32,1605059605787
系统 UI,32,1605059605803
万象息屏,32,1605059606212
Android 系统,32,1605060033385
系统桌面,32,1605060033473
系统桌面,32,1605060033604
系统桌面,32,1605060033688
系统 UI,32,1605060033981
系统桌面,32,1605060034598
系统桌面,1,1605060035816
系统 UI,32,1605060035924
系统 UI,32,1605060035962
系统 UI,32,1605060035975
系统 UI,32,1605060035989
万象息屏,32,1605060036396
Android 系统,32,1605060245571
系统桌面,32,1605060245659
系统桌面,32,1605060245769
系统桌面,32,1605060245903
系统桌面,1,1605060246921
QQ,32,1605060247067
系统桌面,32,1605060247087
系统桌面,32,1605060247088
QQ,1,1605060249228
QQ,1,1605060252948
QQ,32,1605060253226
QQ,32,1605060254275
搜狗输入法小米版,32,1605060255112
QQ,1,1605060260552
QQ,32,1605060260576
QQ,1,1605060264587
QQ,32,1605060264595
QQ,1,1605060266641
QQ,1,1605060286941
QQ,1,1605060288469
QQ,1,1605060295536
系统桌面,32,1605060297642
系统桌面,32,1605060297700
系统 UI,32,1605060299001
系统 UI,32,1605060299019
系统 UI,32,1605060299035
万象息屏,32,1605060299386
Android 系统,32,1605060316901
系统桌面,32,1605060317014
系统桌面,32,1605060317146
系统桌面,32,1605060317254
系统桌面,1,1605060318240
QQ,32,1605060318295
QQ,32,1605060318318
系统桌面,32,1605060318335
QQ,1,1605060319453
QQ,1,1605060323981
QQ,32,1605060324049
QQ,32,1605060325445
搜狗输入法小米版,32,1605060327779
搜狗输入法小米版,32,1605060331099
系统桌面,32,1605060332919
QQ,1,1605060349292
搜狗输入法小米版,32,1605060349332
QQ,1,1605060359038
QQ,1,1605060365984
QQ,32,1605060366061
QQ,32,1605060366983
系统桌面,32,1605060369240
系统桌面,32,1605060369290
系统 UI,32,1605060370505
系统 UI,32,1605060370524
系统 UI,32,1605060370538
万象息屏,32,1605060370858
Android 系统,32,1605060396856
系统 UI,32,1605060396897
系统 UI,32,1605060397324
小米画报,32,1605060397768
万象息屏,32,1605060398698
Android 系统,32,1605060646499
系统桌面,32,1605060646574
系统桌面,32,1605060646709
系统桌面,32,1605060646836
系统 UI,32,1605060647377
系统桌面,32,1605060647426
系统桌面,32,1605060647444
系统桌面,32,1605060649494
系统桌面,32,1605060649546
系统 UI,32,1605060653173
系统 UI,32,1605060653219
系统 UI,32,1605060653244
万象息屏,32,1605060653660
Android 系统,32,1605060663335
系统桌面,32,1605060663456
系统桌面,32,1605060663606
系统桌面,32,1605060663634
系统桌面,1,1605060664644
手机管家,32,1605060664663
手机管家,32,1605060664742
系统 UI,32,1605060664771
系统桌面,32,1605060664792
系统桌面,32,1605060664939
微信,32,1605060667342
微信,32,1605060673489
微信,1,1605060674015
微信,32,1605060674042
微信,32,1605060674271
微信,1,1605060674874
微信,32,1605060674888
微信,32,1605060675616
微信,32,1605060707146
微信,32,1605060707167
微信,32,1605060707227
系统桌面,32,1605060711729
系统桌面,32,1605060711792
系统桌面,1,1605060712777
系统 UI,32,1605060712879
系统 UI,32,1605060712904
系统 UI,32,1605060712920
系统 UI,32,1605060712934
万象息屏,32,1605060713344
Android 系统,32,1605060744418
系统桌面,32,1605060744456
系统桌面,32,1605060744783
系统桌面,32,1605060744819
系统桌面,1,1605060745946
QQ,32,1605060746081
QQ,32,1605060746131
系统桌面,32,1605060746139
系统桌面,32,1605060746223
系统桌面,32,1605060747058
系统桌面,32,1605060747096
系统桌面,1,1605060747853
系统 UI,32,1605060747939
系统 UI,32,1605060747960
系统 UI,32,1605060747981
系统 UI,32,1605060747995
万象息屏,32,1605060748377
Android 系统,32,1605060828713
小米画报,32,1605060829316
