event,appname,timestamp
32,系统桌面,2020-11-11 07:50:34
32,系统桌面,2020-11-11 07:50:34
32,系统 UI,2020-11-11 07:50:36
32,系统桌面,2020-11-11 07:50:36
32,系统桌面,2020-11-11 07:50:36
32,系统桌面,2020-11-11 07:50:39
32,系统桌面,2020-11-11 07:50:39
32,系统桌面,2020-11-11 07:50:40
32,系统桌面,2020-11-11 07:50:40
32,系统桌面,2020-11-11 07:50:49
32,系统桌面,2020-11-11 07:50:49
32,系统 UI,2020-11-11 07:50:54
32,系统桌面,2020-11-11 07:50:54
32,系统桌面,2020-11-11 07:50:54
32,系统桌面,2020-11-11 07:50:56
32,系统桌面,2020-11-11 07:50:56
32,系统 UI,2020-11-11 07:50:57
32,系统 UI,2020-11-11 07:50:57
32,系统 UI,2020-11-11 07:50:57
32,系统 UI,2020-11-11 07:50:57
32,万象息屏,2020-11-11 07:50:57
32,Android 系统,2020-11-11 08:03:59
32,小米画报,2020-11-11 08:04:00
32,系统 UI,2020-11-11 08:04:00
32,万象息屏,2020-11-11 08:04:06
32,Android 系统,2020-11-11 08:16:27
32,系统桌面,2020-11-11 08:16:27
32,系统桌面,2020-11-11 08:16:27
32,系统桌面,2020-11-11 08:16:27
32,系统 UI,2020-11-11 08:16:28
32,系统桌面,2020-11-11 08:16:28
32,系统桌面,2020-11-11 08:16:28
32,系统桌面,2020-11-11 08:16:31
32,系统桌面,2020-11-11 08:16:31
32,系统 UI,2020-11-11 08:16:32
32,系统 UI,2020-11-11 08:16:32
32,系统 UI,2020-11-11 08:16:32
32,系统 UI,2020-11-11 08:16:32
32,万象息屏,2020-11-11 08:16:33
32,Android 系统,2020-11-11 08:45:02
32,系统 UI,2020-11-11 08:45:02
32,小米画报,2020-11-11 08:45:03
32,万象息屏,2020-11-11 08:45:05
32,Android 系统,2020-11-11 09:12:27
32,系统 UI,2020-11-11 09:12:27
32,万象息屏,2020-11-11 09:12:33
32,Android 系统,2020-11-11 09:52:39
32,小米画报,2020-11-11 09:52:40
32,系统桌面,2020-11-11 09:52:41
32,系统桌面,2020-11-11 09:52:41
32,系统桌面,2020-11-11 09:52:41
32,系统 UI,2020-11-11 09:52:43
32,系统桌面,2020-11-11 09:52:43
32,系统桌面,2020-11-11 09:52:43
32,系统桌面,2020-11-11 09:52:45
32,系统桌面,2020-11-11 09:52:45
1,系统桌面,2020-11-11 09:53:01
32,用户行为3,2020-11-11 09:53:01
32,系统桌面,2020-11-11 09:53:01
1,用户行为3,2020-11-11 09:53:03
1,用户行为3,2020-11-11 09:53:08
1,用户行为3,2020-11-11 09:53:08
1,用户行为3,2020-11-11 09:53:12
1,用户行为3,2020-11-11 09:53:13
1,用户行为3,2020-11-11 09:53:14
1,用户行为3,2020-11-11 09:53:17
1,用户行为3,2020-11-11 09:53:19
32,用户行为3,2020-11-11 09:53:19
32,用户行为3,2020-11-11 09:53:19
1,用户行为3,2020-11-11 09:53:20
32,用户行为3,2020-11-11 09:53:20
32,用户行为3,2020-11-11 09:53:21
1,用户行为3,2020-11-11 09:53:22
32,用户行为3,2020-11-11 09:53:22
32,用户行为3,2020-11-11 09:53:23
32,系统桌面,2020-11-11 09:53:24
